"creator","tokens_created","avg_seconds_between_launches","min_seconds_between_launches","max_seconds_between_launches","avg_minutes_between_launches","min_minutes_between_launches","max_hours_between_launches","tokens_per_day","days_active","avg_seconds_to_first_sell","min_seconds_to_first_sell","max_seconds_to_first_sell","exact_avg_hours_to_first_sell","exact_min_minutes_to_first_sell","exact_max_hours_to_first_sell","total_profit_sol","profitable_tokens","profit_rate_percent"
"<a href=""https://gmgn.ai/sol/address/3rYj2dThkPHXxX8UNyT6361dqpeQaAU2g3mpZrEwRbnM"" target=""_blank"">3rYj...RbnM</a>",8482,228.33769602641198,0,18284,3.8056282671068664,0,5,"378.6","22.4",71.87274442740889,3,165678,0.019964651229835803,0,46,3.881,1,"0.0"
"<a href=""https://gmgn.ai/sol/address/FZt2R8haxvyTTmdbJyQvB2sq2aAe92XQW8zksC7vGtr7"" target=""_blank"">FZt2...Gtr7</a>",8416,462.4154486036839,4,62053,7.7069241433947315,0,17,"187.0","45.0",13.266753802281368,3,1132,0.003685209389522602,0,0,13379.365,8416,"100.0"
"<a href=""https://gmgn.ai/sol/address/BfAgS1vsK2Wja56zxcBrMMdn6sFgTnMmZu3wi4XwiAt3"" target=""_blank"">BfAg...iAt3</a>",8317,408.05387205387206,0,199647,6.800897867564534,0,55,"211.6","39.3",131.73930530164535,1,55890,0.036594251472679265,0,15,33517.809,8205,"98.7"
"<a href=""https://gmgn.ai/sol/address/DUKVDysvzUK5tdfe1Y3kShdEtgHy7j92caUHSHHrECiW"" target=""_blank"">DUKV...ECiW</a>",7469,751.9673272629888,0,787983,12.532788787716479,0,218,"114.9","65.0",1839.9039532293987,1,1382304,0.5110844314526107,0,383,5611.839,1083,"14.5"
"<a href=""https://gmgn.ai/sol/address/BwaVFCDJ4HfRfFWq1S23LHkk5VF4GKEw9oz7F1PxgcHv"" target=""_blank"">BwaV...gcHv</a>",7013,1036.8864803194524,0,2310041,17.28144133865754,0,641,"83.3","84.2",28.858285714285714,1,26233,0.008016190476190475,0,7,40.667,18,"0.3"
"<a href=""https://gmgn.ai/sol/address/DR7ghPiRVBJ3YeP3FUJRuSa4XaWq4Pkw8ZM4JYs1PyJ9"" target=""_blank"">DR7g...PyJ9</a>",6218,1278.8599002734438,22,2422121,21.314331671224064,0,672,"67.6","92.0",19.37976516004504,1,2746,0.0053832681000125105,0,0,8995.517,5347,"86.0"
"<a href=""https://gmgn.ai/sol/address/7R3KWHxzCf1eevnqHh4YymyTf4WsVJRwVHjrTGiV5zq1"" target=""_blank"">7R3K...5zq1</a>",6074,2537.700312860201,20,1294361,42.29500521433668,0,359,"34.0","178.4",31.356071840500906,3,1711,0.008710019955694696,0,0,12228.928,6060,"99.8"
"<a href=""https://gmgn.ai/sol/address/ER561nUdWcJzCvbykPL34Sv6XzGXiW4y7LP1Nezfvp95"" target=""_blank"">ER56...vp95</a>",6021,1219.401661129568,44,165858,20.323361018826134,0,46,"70.8","85.0",50.65520677628301,8,3981,0.014070890771189724,0,1,6668.724,6020,"100.0"
"<a href=""https://gmgn.ai/sol/address/CEUA7zVoDRqRYoeHTP58UHU6TR8yvtVbeLrX1dppqoXJ"" target=""_blank"">CEUA...qoXJ</a>",4958,1007.9485575953197,1,178384,16.79914262658866,0,49,"85.8","57.8",71.04195240016135,1,79465,0.019733875666711486,0,22,6649.619,4947,"99.8"
"<a href=""https://gmgn.ai/sol/address/GNzV2sx87Ua3Pkb2s6hM13CBbHfrgsSHYiB6s8TKBdg8"" target=""_blank"">GNzV...Bdg8</a>",4731,913.8484143763213,0,338615,15.230806906272022,0,94,"94.6","50.0",216.88888888888889,1,109637,0.06024691358024691,0,30,22328.145,4626,"97.8"
"<a href=""https://gmgn.ai/sol/address/GdRSPexhxbQz5H2zFQrNN2BAZUqEjAULBigTPvQ6oDMP"" target=""_blank"">GdRS...oDMP</a>",4616,776.8933911159263,1,162491,12.948223185265439,0,45,"111.2","41.5",11.093391115926327,2,360,0.0030814975322017574,0,0,4903.099,4615,"100.0"
"<a href=""https://gmgn.ai/sol/address/Czw16TyoyxktCSsS1BNXmUdjXTvsWxX6VPqrKUMwS6To"" target=""_blank"">Czw1...S6To</a>",4602,2877.9956531188873,2,739233,47.96659421864812,0,205,"30.0","153.3",639.3970716783217,4,175510,0.1776102976884227,0,48,14306.34,4574,"99.4"
"<a href=""https://gmgn.ai/sol/address/DjXkmBJ99hK33sN8MznifJoW6WEUXyRNskMRT85gt5Du"" target=""_blank"">DjXk...t5Du</a>",4550,1532.4497691800395,39,108093,25.540829486333994,0,30,"56.4","80.7",93.02421307506053,5,36868,0.025840059187516813,0,10,4409.713,4539,"99.8"
"<a href=""https://gmgn.ai/sol/address/5wndZMmZzydwLvhhGWcm2pwztDGv6qFcrhwbKjTGeJ4f"" target=""_blank"">5wnd...eJ4f</a>",4543,1972.5279612505503,42,301641,32.8754660208425,0,83,"43.8","103.7",297.3580709094913,7,125553,0.08259946414152536,0,34,5623.168,4522,"99.5"
"<a href=""https://gmgn.ai/sol/address/ADC1QV9raLnGGDbnWdnsxazeZ4Tsiho4vrWadYswA2ph"" target=""_blank"">ADC1...A2ph</a>",4370,1190.281986724651,19,522383,19.838033112077518,0,145,"72.6","60.2",25.961547264820325,1,6577,0.007211540906894535,0,1,5782.795,4369,"100.0"
"<a href=""https://gmgn.ai/sol/address/DBsttoy6Eunu4KMyxZMReRgMar6URXWmiYjr5XgML4Qf"" target=""_blank"">DBst...L4Qf</a>",4242,544.0134402263617,6,64763,9.066890670439362,0,17,"158.8","26.7",291.12149091766923,5,36805,0.08086708081046368,0,10,11491.583,4239,"99.9"
