"creator","tokens_created","avg_seconds_between_launches","min_seconds_between_launches","max_seconds_between_launches","avg_minutes_between_launches","min_minutes_between_launches","max_hours_between_launches","tokens_per_day","days_active","avg_seconds_to_first_sell","min_seconds_to_first_sell","max_seconds_to_first_sell","exact_avg_hours_to_first_sell","exact_min_minutes_to_first_sell","exact_max_hours_to_first_sell","total_profit_sol","profitable_tokens","profit_rate_percent"
"<a href=""https://gmgn.ai/sol/address/9gnDS5oNivUzftLJDeAKqcqA3H7t8puiPHabNB3sWk8q"" target=""_blank"">9gnD...Wk8q</a>",2547,935.3424980361351,36,96297,15.589041633935585,0,26,"92.2","27.6",74.65645857872006,5,25957,0.020737905160755573,0,7,5205.388,2546,"100.0"
"<a href=""https://gmgn.ai/sol/address/DdZG8dw12CsHjj2Ytfo1vKNPPoU4DEYSMSxdhPjo5U6N"" target=""_blank"">DdZG...5U6N</a>",2545,1906.5849056603774,24,844992,31.776415094339622,0,234,"45.3","56.1",15.974459724950885,1,112,0.004437349923597468,0,0,3568.044,2543,"99.9"
"<a href=""https://gmgn.ai/sol/address/9pcfJsidozuhAWcnaDCSvNJQ6A6tzRDf4UN7g4upTZrx"" target=""_blank"">9pcf...TZrx</a>",2536,847.7262327416173,37,79550,14.128770545693621,0,22,"101.8","24.9",24.476716653512234,4,217,0.006799087959308954,0,0,1625.181,2534,"99.9"
"<a href=""https://gmgn.ai/sol/address/DBSKUS51oysvm9LX81kT3vypKQNjSZMchhubPECMzhcV"" target=""_blank"">DBSK...zhcV</a>",2521,3910.824206349206,33,1039474,65.18040343915344,0,288,"22.1","114.1",49.425624752082506,6,1880,0.013729340208911808,0,0,5918.29,2512,"99.6"
"<a href=""https://gmgn.ai/sol/address/5WYwniGiyuTm9QtTECH1R7cyee5W8zgFp7oy6j3QbNtV"" target=""_blank"">5WYw...bNtV</a>",2478,248.58336697618086,1,128141,4.143056116269681,0,35,"348.9","7.1",905.5250201775625,24,25683,0.2515347278271007,0,7,0.371,0,"0.0"
"<a href=""https://gmgn.ai/sol/address/5HAWUyfg55X8YeWiygWjX1x9cxbhjv7yorcGLkKKTREW"" target=""_blank"">5HAW...TREW</a>",2427,489.90395713107995,0,69028,8.165065952184666,0,19,"175.8","13.8",54.02061005770816,4,64,0.015005725016030045,0,0,0,0,"0.0"
"<a href=""https://gmgn.ai/sol/address/B2P5Y2QukLXQf46WpmiQE4XRvvuofmfKSEAvFd28zsw2"" target=""_blank"">B2P5...zsw2</a>",2416,1375.9693581780539,0,634088,22.932822636300898,0,176,"62.7","38.5",7.9697722567287785,1,143,0.0022138256268691052,0,0,4457.904,2401,"99.4"
"<a href=""https://gmgn.ai/sol/address/AVsRdizrKsZ3MP5y7bW9Yihr7aBvF4zu4s8s9Ltqm4fu"" target=""_blank"">AVsR...m4fu</a>",2412,1003.9643301534633,22,199473,16.732738835891055,0,55,"86.1","28.0",16.201077943615257,2,396,0.004500299428782016,0,0,2588.608,2339,"97.0"
"<a href=""https://gmgn.ai/sol/address/6x13RjmWK7RYAmQbQTRxw1H3PpNT4FDkZy6nBxpLXk3j"" target=""_blank"">6x13...Xk3j</a>",2391,2204.2510460251046,22,171218,36.73751743375174,0,47,"39.2","61.0",15.971560016729402,1,195,0.004436544449091501,0,0,3961.841,2390,"100.0"
"<a href=""https://gmgn.ai/sol/address/7AZBJFbLghiFBQ7mZFq6ANPMtUcar3Azc7icCf3eYB1A"" target=""_blank"">7AZB...YB1A</a>",2360,522.704111911827,28,61343,8.71173519853045,0,17,"165.0","14.3",23.96737288135593,6,206,0.006657603578154425,0,0,4185.846,2359,"100.0"
"<a href=""https://gmgn.ai/sol/address/2xKDETThQeNxPZAtkicq8UABrRQtyRfHTwCs57mTpFFQ"" target=""_blank"">2xKD...pFFQ</a>",2343,824.2561912894962,26,82294,13.73760318815827,0,22,"105.0","22.3",38.56466069142125,3,4304,0.010712405747617015,0,1,3696.141,2343,"100.0"
"<a href=""https://gmgn.ai/sol/address/FJqiMbEQwg6AoAHdTHqFwRcpbSN67zv72gKBh5dfxjTh"" target=""_blank"">FJqi...xjTh</a>",2341,553.1863247863248,1,55608,9.21977207977208,0,15,"156.0","15.0",158.09677419354838,6,35025,0.043915770609319,0,9,3914.274,2325,"99.3"
"<a href=""https://gmgn.ai/sol/address/6Wkq1znNRV2Kf8JmJfhFTT2udrRkJF5pAtYv8ykY3tK6"" target=""_blank"">6Wkq...3tK6</a>",2341,4063.8192307692307,0,1811079,67.73032051282051,0,503,"21.3","110.1",46.77272727272727,5,530,0.012992424242424243,0,0,69.963,44,"1.9"
"<a href=""https://gmgn.ai/sol/address/9km7F8EoqxtmjJ54AmfESiid6A7WQNkvF6BvpfvZJC62"" target=""_blank"">9km7...JC62</a>",2291,1591.631441048035,0,81876,26.527190684133917,0,22,"54.3","42.2",1742.9965065502183,2,336601,0.48416569626394956,0,93,0,0,"0.0"
"<a href=""https://gmgn.ai/sol/address/AxZ7aE7d1vHAabw6z43DzsdZf3ndHxBNsC9Xptx15qSP"" target=""_blank"">AxZ7...5qSP</a>",2290,2001.176496286588,0,1627470,33.35294160477647,0,452,"43.2","53.0",42839,36,104802,11.899722222222222,0,29,0,0,"0.0"
"<a href=""https://gmgn.ai/sol/address/ARuJrNERmFxdNLU9BLeWLEKWJweUMdcF7bJJdGfGsY47"" target=""_blank"">ARuJ...sY47</a>",2203,1775.9795640326975,0,519260,29.599659400544958,0,144,"48.6","45.3",90.97419668938656,1,59094,0.025270610191496266,0,16,9420.226,2050,"93.1"
"<a href=""https://gmgn.ai/sol/address/98BFkHuEBZuy3hRZ3AmW59x1LkSEKw7dqdoF1bDps5Uc"" target=""_blank"">98BF...s5Uc</a>",2170,2335.339326878746,26,262916,38.922322114645766,0,73,"37.0","58.6",30.327188940092167,1,24002,0.008424219150025601,0,6,1895.879,2170,"100.0"
"<a href=""https://gmgn.ai/sol/address/5VED2h4zgN3cjhJWVxQgS4pLmo53HCqQrrFBStG7i4uo"" target=""_blank"">5VED...i4uo</a>",2155,1438.9591457753017,0,263072,23.982652429588363,0,73,"60.0","35.9",561.5873311597578,1,1094919,0.1559964808777105,0,304,5839.762,2145,"99.5"
"<a href=""https://gmgn.ai/sol/address/DhPzAN3UQZcKxqh5e9Nk7xD8jYVR9W5QZ9Yfo3F1ydkY"" target=""_blank"">DhPz...ydkY</a>",2144,3024.4414372375177,15,1267071,50.40735728729196,0,351,"28.6","75.0",21.505597014925375,2,419,0.005973776948590382,0,0,4278.5,2046,"95.4"
"<a href=""https://gmgn.ai/sol/address/CL8cS3KUGboEstdLUJi1XXq6KzKbdaFAL7TQjEEgL7hr"" target=""_blank"">CL8c...L7hr</a>",2115,2903.155629139073,17,327214,48.38592715231788,0,90,"29.8","71.0",126.70874704491726,1,204455,0.03519687417914368,0,56,3576.674,2114,"100.0"
"<a href=""https://gmgn.ai/sol/address/FmkKSQHYXScWgJcF9KPQ3VsJ1yX5CZ7UoH1JrZpCMf4g"" target=""_blank"">FmkK...Mf4g</a>",2107,2082.7711301044633,0,674773,34.71285216840772,0,187,"41.5","50.8",366.59892262487756,2,243899,0.101833034062466,0,67,4945.59,2038,"96.7"
"<a href=""https://gmgn.ai/sol/address/DCWFXmVxofgsFi8zUvrHfP4zUTyJpk3uC5Vw3siSjuac"" target=""_blank"">DCWF...juac</a>",2100,2393.509290138161,0,3306076,39.89182150230268,0,918,"36.1","58.1",12625.550955414014,43,339881,3.507097487615004,0,94,760.951,94,"4.5"
"<a href=""https://gmgn.ai/sol/address/CBprciwsVHdfrjMGjH9psEJTh6ADBFRkpJWjTfMFPsWD"" target=""_blank"">CBpr...PsWD</a>",2099,2409.3746425166823,0,3778262,40.1562440419447,0,1049,"35.9","58.5",45.666666666666664,8,68,0.012685185185185185,0,0,0,0,"0.0"
"<a href=""https://gmgn.ai/sol/address/3eosqvAzuAX5PDMDcLbgoaJdw45Gr3niL1GZsjE66sJY"" target=""_blank"">3eos...6sJY</a>",2090,759.143130684538,0,807216,12.652385511408967,0,224,"113.5","18.4",30.263513513513512,1,4392,0.00840653153153153,0,1,9914.797,1921,"91.9"
"<a href=""https://gmgn.ai/sol/address/jHtGznWGEkWy3dQEfyyaKBrnZYVexVowU8iB5cauGLU"" target=""_blank"">jHtG...uGLU</a>",2078,758.8098218584497,14,66151,12.646830364307496,0,18,"114.1","18.2",14.799326275264677,2,112,0.0041109239653513,0,0,3435.233,2078,"100.0"
"<a href=""https://gmgn.ai/sol/address/DZuys2hm6CSPhSyeJRbC6Qv1YxysR9xmSehyAscia928"" target=""_blank"">DZuy...a928</a>",2057,1572.2748054474707,37,435255,26.20458009079118,0,120,"55.0","37.4",227.2484200291687,5,43074,0.06312456111921352,0,11,4389.191,2057,"100.0"
"<a href=""https://gmgn.ai/sol/address/5Uy3muJBCr5wHUovj1J78U8LPneftRF13jQvABtj4U12"" target=""_blank"">5Uy3...4U12</a>",2050,1565.2274280136653,15,363044,26.087123800227754,0,100,"55.2","37.1",512.9278048780487,1,62455,0.14247994579945797,0,17,274.727,82,"4.0"
"<a href=""https://gmgn.ai/sol/address/C5EyyLhjD55FUAgsCRXPCbDG7QmPaFDUbvU95mz9sSr3"" target=""_blank"">C5Ey...sSr3</a>",2043,1349.1033300685601,18,118514,22.485055501142668,0,32,"64.0","31.9",13.712671905697446,1,3013,0.0038090755293604017,0,0,292.288,1117,"54.7"
"<a href=""https://gmgn.ai/sol/address/96xjt9ysCFrVLVm6ysw9W7521QWP7irWw9MtdKocviE1"" target=""_blank"">96xj...viE1</a>",2039,1070.214916584887,0,138003,17.836915276414786,0,38,"80.9","25.2",14.350834151128558,1,910,0.003986342819757933,0,0,2355.917,1973,"96.8"
"<a href=""https://gmgn.ai/sol/address/GKi4U67uY5SKHDPMzpXDy1FU6gAetGcyuqC8aWY72SFj"" target=""_blank"">GKi4...2SFj</a>",2039,1187.6501472031402,0,855517,19.794169120052338,0,237,"72.8","28.0",5985.790971540726,14,874938,1.6627197143168684,0,243,0,0,"0.0"
"<a href=""https://gmgn.ai/sol/address/FtdMbXwLyXY35s8gnoAVojEg7G5RFnBzZmkoFxDHnfnj"" target=""_blank"">FtdM...nfnj</a>",1996,7502.554385964912,2,397529,125.04257309941521,0,110,"11.5","173.2",95.71145038167938,4,16433,0.02658651399491094,0,4,2926.798,1958,"98.1"
