"metric","deployer_count","total_profit_sol","avg_profit_per_deployer","median_profit_per_deployer","total_tokens_created","total_profitable_tokens","profitable_token_rate"
"PER_DEPLOYER",,690.7085312090001,,,207,202,"97.6"
"PER_DEPLOYER",,690.695343166,,,77,81,"105.2"
"PER_DEPLOYER",,690.2597177000004,,,740,749,"101.2"
"PER_DEPLOYER",,688.826417943,,,219,233,"106.4"
"PER_DEPLOYER",,688.339752005,,,281,290,"103.2"
"PER_DEPLOYER",,686.559396144,,,189,230,"121.7"
"PER_DEPLOYER",,685.8865146630002,,,808,817,"101.1"
"PER_DEPLOYER",,685.617287867,,,5,32,"640.0"
"PER_DEPLOYER",,685.520203096,,,165,167,"101.2"
"PER_DEPLOYER",,683.43028246,,,34,41,"120.6"
"PER_DEPLOYER",,682.8706155900002,,,481,486,"101.0"
"PER_DEPLOYER",,679.958694156,,,75,71,"94.7"
"PER_DEPLOYER",,677.592700156,,,141,132,"93.6"
"PER_DEPLOYER",,674.476028633,,,21,21,"100.0"
"PER_DEPLOYER",,674.070898948,,,392,391,"99.7"
"PER_DEPLOYER",,671.724034899,,,8,33,"412.5"
"PER_DEPLOYER",,668.6587959620001,,,312,312,"100.0"
"PER_DEPLOYER",,668.075475612,,,503,572,"113.7"
"PER_DEPLOYER",,665.5897546330002,,,319,314,"98.4"
"PER_DEPLOYER",,665.450929825,,,12,21,"175.0"
"PER_DEPLOYER",,664.9718657210002,,,428,428,"100.0"
"PER_DEPLOYER",,663.2923116599999,,,594,996,"167.7"
"PER_DEPLOYER",,662.152435624,,,66,51,"77.3"
"PER_DEPLOYER",,661.7479820049999,,,483,484,"100.2"
"PER_DEPLOYER",,661.5645864659998,,,121,121,"100.0"
"PER_DEPLOYER",,661.137777483,,,3132,43,"1.4"
"PER_DEPLOYER",,660.0090970910001,,,515,509,"98.8"
"PER_DEPLOYER",,659.411130033,,,56,56,"100.0"
"PER_DEPLOYER",,655.371226708,,,12,14,"116.7"
"PER_DEPLOYER",,655.2217621429996,,,527,521,"98.9"
"PER_DEPLOYER",,654.1641280619999,,,230,229,"99.6"
"PER_DEPLOYER",,653.4672589870002,,,194,161,"83.0"
"PER_DEPLOYER",,651.7704264889999,,,223,222,"99.6"
"PER_DEPLOYER",,651.4546352710003,,,407,406,"99.8"
"PER_DEPLOYER",,650.6860005750001,,,320,318,"99.4"
"PER_DEPLOYER",,650.0009448359999,,,45,45,"100.0"
"PER_DEPLOYER",,649.5033338249998,,,962,1035,"107.6"
"PER_DEPLOYER",,648.876437982,,,486,493,"101.4"
"PER_DEPLOYER",,647.4345422290002,,,358,373,"104.2"
"PER_DEPLOYER",,646.716272096,,,291,286,"98.3"
"PER_DEPLOYER",,646.486517984,,,10,20,"200.0"
"PER_DEPLOYER",,646.3996679530002,,,319,318,"99.7"
"PER_DEPLOYER",,645.8437538339998,,,384,389,"101.3"
"PER_DEPLOYER",,645.148319838,,,256,258,"100.8"
"PER_DEPLOYER",,644.1396830769999,,,537,1159,"215.8"
"PER_DEPLOYER",,643.070984751,,,5,83,"1660.0"
"PER_DEPLOYER",,641.573639372,,,5,49,"980.0"
"PER_DEPLOYER",,640.7214100710002,,,416,414,"99.5"
"PER_DEPLOYER",,639.3058055060002,,,287,318,"110.8"
"PER_DEPLOYER",,639.2334476099998,,,314,313,"99.7"
"PER_DEPLOYER",,638.2359504469998,,,340,340,"100.0"
"PER_DEPLOYER",,638.0073231390003,,,301,301,"100.0"
"PER_DEPLOYER",,635.6568045710001,,,11,16,"145.5"
"PER_DEPLOYER",,634.39614994,,,350,417,"119.1"
"PER_DEPLOYER",,634.2156405560002,,,245,246,"100.4"
"PER_DEPLOYER",,633.9982251060002,,,365,365,"100.0"
"PER_DEPLOYER",,630.135021053,,,236,237,"100.4"
"PER_DEPLOYER",,629.992442195,,,327,563,"172.2"
"PER_DEPLOYER",,629.94989029,,,71,75,"105.6"
"PER_DEPLOYER",,629.0343306599998,,,431,447,"103.7"
"PER_DEPLOYER",,627.816713456,,,186,187,"100.5"
"PER_DEPLOYER",,627.5035284570001,,,476,472,"99.2"
"PER_DEPLOYER",,627.4535369930001,,,10,9,"90.0"
"PER_DEPLOYER",,626.6708696469999,,,351,350,"99.7"
"PER_DEPLOYER",,626.4288318579999,,,183,16,"8.7"
"PER_DEPLOYER",,626.172348861,,,540,561,"103.9"
"PER_DEPLOYER",,625.439464167,,,390,382,"97.9"
"PER_DEPLOYER",,623.7640695039998,,,335,335,"100.0"
"PER_DEPLOYER",,623.5892813410001,,,435,436,"100.2"
"PER_DEPLOYER",,622.0873021799999,,,344,344,"100.0"
"PER_DEPLOYER",,621.2516012889998,,,318,318,"100.0"
"PER_DEPLOYER",,620.817451087,,,7,36,"514.3"
"PER_DEPLOYER",,620.788910782,,,370,382,"103.2"
"PER_DEPLOYER",,620.6541595749999,,,29,28,"96.6"
"PER_DEPLOYER",,619.8612529759998,,,414,415,"100.2"
"PER_DEPLOYER",,619.398417449,,,306,294,"96.1"
"PER_DEPLOYER",,618.8590931779999,,,8,10,"125.0"
"PER_DEPLOYER",,617.684563448,,,738,819,"111.0"
"PER_DEPLOYER",,617.1298105740001,,,48,48,"100.0"
"PER_DEPLOYER",,614.4607862369999,,,549,670,"122.0"
